iter	Passed	Remaining
0	129	129041
1	130	65114
2	131	43776
3	132	33086
4	134	26667
5	135	22401
6	136	19362
7	139	17264
8	142	15635
9	143	14226
10	145	13070
11	146	12080
12	148	11284
13	150	10627
14	154	10177
15	158	9758
16	160	9277
17	161	8826
18	163	8418
19	164	8054
20	166	7767
21	168	7490
22	169	7211
23	171	6961
24	172	6725
25	174	6528
26	175	6335
27	177	6152
28	178	5977
29	179	5815
30	182	5700
31	183	5553
32	185	5422
33	186	5291
34	187	5174
35	188	5060
36	190	4952
37	191	4848
38	192	4751
39	194	4660
40	196	4589
41	197	4507
42	199	4431
43	200	4356
44	201	4284
45	203	4214
46	204	4148
47	205	4085
48	207	4025
49	208	3963
50	210	3918
51	212	3866
52	213	3811
53	214	3757
54	215	3709
55	217	3661
56	218	3612
57	219	3564
58	220	3519
59	221	3475
60	222	3432
61	224	3391
62	227	3385
63	229	3349
64	230	3313
65	231	3280
66	232	3237
67	233	3203
68	234	3169
69	236	3136
70	237	3104
71	238	3074
72	240	3047
73	242	3031
74	243	3007
75	245	2986
76	247	2961
77	249	2944
78	250	2921
79	251	2896
80	253	2875
81	256	2875
82	258	2855
83	260	2837
84	261	2816
85	263	2803
86	265	2785
87	267	2769
88	268	2749
89	270	2735
90	272	2720
91	273	2701
92	275	2685
93	276	2666
94	278	2648
95	279	2628
96	280	2609
97	281	2590
98	282	2574
99	284	2557
100	286	2550
101	287	2532
102	289	2517
103	290	2504
104	292	2493
105	298	2515
106	301	2513
107	303	2507
108	306	2501
109	308	2493
110	313	2506
111	314	2497
112	317	2495
113	319	2485
114	322	2480
115	324	2469
116	325	2457
117	327	2446
118	329	2438
119	332	2435
120	334	2431
121	336	2421
122	338	2415
123	340	2405
124	342	2395
125	344	2388
126	346	2378
127	348	2374
128	351	2371
129	353	2365
130	355	2357
131	357	2352
132	359	2341
133	361	2335
134	364	2334
135	365	2324
136	367	2314
137	368	2302
138	370	2291
139	371	2281
140	372	2271
141	374	2260
142	375	2250
143	377	2246
144	379	2235
145	380	2227
146	382	2219
147	383	2209
148	384	2198
149	386	2187
150	387	2176
151	388	2165
152	389	2153
153	390	2143
154	391	2135
155	393	2128
156	394	2117
157	395	2108
158	396	2098
159	397	2088
160	399	2079
161	400	2069
162	401	2060
163	402	2050
164	403	2042
165	404	2033
166	405	2024
167	407	2019
168	409	2011
169	410	2003
170	411	1994
171	412	1985
172	413	1977
173	414	1968
174	415	1960
175	416	1952
176	418	1944
177	419	1935
178	420	1928
179	421	1922
180	423	1916
181	424	1908
182	425	1900
183	426	1892
184	427	1885
185	429	1877
186	430	1870
187	431	1863
188	432	1856
189	433	1848
190	434	1841
191	436	1834
192	438	1831
193	439	1825
194	440	1819
195	442	1814
196	443	1807
197	444	1801
198	445	1794
199	447	1788
200	448	1781
201	449	1775
202	450	1769
203	452	1766
204	454	1761
205	455	1755
206	456	1749
207	458	1744
208	459	1738
209	460	1732
210	461	1726
211	462	1720
212	464	1714
213	465	1709
214	466	1704
215	468	1701
216	470	1697
217	471	1692
218	473	1687
219	475	1685
220	477	1681
221	478	1677
222	480	1673
223	482	1670
224	484	1668
225	486	1666
226	488	1662
227	489	1658
228	491	1653
229	492	1647
230	493	1642
231	494	1638
232	496	1634
233	502	1645
234	504	1643
235	506	1641
236	508	1637
237	510	1633
238	512	1632
239	516	1634
240	518	1633
241	520	1630
242	522	1626
243	524	1624
244	525	1620
245	527	1618
246	530	1617
247	533	1617
248	534	1612
249	536	1609
250	538	1606
251	540	1603
252	542	1601
253	545	1601
254	547	1599
255	548	1595
256	550	1591
257	552	1587
258	553	1584
259	555	1580
260	558	1580
261	560	1578
262	562	1575
263	563	1571
264	565	1568
265	567	1565
266	569	1562
267	570	1558
268	574	1561
269	576	1558
270	578	1555
271	580	1552
272	581	1549
273	583	1546
274	585	1542
275	588	1542
276	591	1542
277	593	1540
278	595	1538
279	597	1535
280	599	1533
281	601	1530
282	604	1531
283	606	1528
284	608	1525
285	610	1523
286	612	1521
287	614	1518
288	617	1518
289	620	1518
290	622	1517
291	624	1515
292	627	1513
293	629	1511
294	631	1509
295	634	1509
296	637	1508
297	639	1505
298	641	1503
299	643	1501
300	645	1499
301	648	1498
302	651	1497
303	653	1495
304	655	1493
305	657	1490
306	659	1488
307	661	1486
308	664	1486
309	666	1484
310	669	1482
311	671	1480
312	673	1477
313	675	1475
314	677	1472
315	680	1472
316	682	1470
317	686	1473
318	688	1470
319	690	1468
320	693	1466
321	696	1467
322	699	1465
323	702	1465
324	705	1464
325	707	1463
326	713	1468
327	716	1467
328	718	1465
329	722	1465
330	726	1467
331	729	1468
332	732	1466
333	734	1464
334	736	1462
335	738	1460
336	742	1460
337	744	1457
338	746	1455
339	749	1454
340	751	1452
341	753	1450
342	757	1450
343	759	1448
344	761	1446
345	764	1444
346	766	1442
347	768	1439
348	771	1439
349	774	1437
350	776	1435
351	778	1433
352	781	1431
353	783	1429
354	786	1429
355	789	1427
356	791	1425
357	793	1423
358	796	1421
359	798	1419
360	801	1419
361	804	1417
362	807	1416
363	809	1414
364	811	1412
365	814	1410
366	817	1410
367	821	1410
368	823	1408
369	826	1406
370	828	1405
371	831	1404
372	834	1403
373	836	1400
374	839	1399
375	841	1397
376	844	1394
377	847	1394
378	849	1392
379	852	1390
380	854	1388
381	857	1387
382	861	1387
383	866	1389
384	870	1389
385	873	1389
386	876	1389
387	881	1390
388	885	1390
389	887	1388
390	889	1386
391	893	1385
392	895	1383
393	898	1381
394	900	1379
395	903	1377
396	905	1375
397	908	1374
398	912	1374
399	914	1371
400	916	1369
401	919	1367
402	921	1364
403	924	1364
404	927	1362
405	930	1360
406	932	1358
407	935	1356
408	937	1354
409	941	1354
410	943	1352
411	945	1349
412	948	1347
413	950	1345
414	952	1343
415	956	1342
416	958	1340
417	962	1339
418	964	1337
419	967	1335
420	971	1335
421	973	1333
422	976	1332
423	979	1330
424	982	1329
425	986	1329
426	989	1328
427	993	1327
428	995	1325
429	998	1323
430	1001	1322
431	1004	1321
432	1007	1319
433	1010	1317
434	1012	1315
435	1016	1314
436	1019	1314
437	1022	1312
438	1026	1311
439	1029	1310
440	1033	1310
441	1036	1308
442	1039	1307
443	1042	1304
444	1044	1303
445	1048	1302
446	1051	1300
447	1054	1299
448	1057	1297
449	1060	1296
450	1064	1296
451	1068	1295
452	1071	1294
453	1075	1293
454	1080	1294
455	1084	1294
456	1087	1292
457	1090	1290
458	1094	1289
459	1096	1287
460	1099	1285
461	1101	1283
462	1104	1280
463	1107	1279
464	1111	1278
465	1113	1276
466	1116	1274
467	1119	1272
468	1122	1270
469	1125	1268
470	1128	1266
471	1131	1265
472	1134	1263
473	1137	1262
474	1140	1260
475	1143	1258
476	1145	1256
477	1148	1254
478	1150	1251
479	1154	1250
480	1157	1248
481	1159	1246
482	1162	1244
483	1165	1242
484	1168	1241
485	1171	1238
486	1173	1236
487	1176	1234
488	1178	1232
489	1181	1229
490	1185	1228
491	1188	1226
492	1190	1224
493	1192	1221
494	1195	1219
495	1197	1217
496	1201	1215
497	1204	1213
498	1206	1211
499	1209	1209
500	1211	1206
501	1214	1205
502	1217	1203
503	1220	1200
504	1223	1199
505	1225	1196
506	1228	1194
507	1232	1193
508	1234	1190
509	1237	1189
510	1240	1186
511	1242	1184
512	1246	1183
513	1248	1180
514	1251	1178
515	1253	1175
516	1256	1173
517	1258	1171
518	1262	1169
519	1264	1167
520	1268	1166
521	1271	1164
522	1277	1165
523	1281	1163
524	1284	1162
525	1288	1161
526	1295	1162
527	1298	1160
528	1301	1158
529	1304	1156
530	1307	1154
531	1310	1152
532	1313	1150
533	1315	1148
534	1318	1146
535	1321	1144
536	1325	1142
537	1327	1140
538	1330	1137
539	1333	1135
540	1335	1132
541	1339	1132
542	1342	1129
543	1345	1127
544	1347	1125
545	1350	1122
546	1353	1121
547	1356	1118
548	1358	1116
549	1361	1114
550	1364	1111
551	1366	1109
552	1370	1107
553	1372	1105
554	1375	1102
555	1377	1100
556	1380	1097
557	1384	1096
558	1386	1093
559	1389	1091
560	1391	1089
561	1394	1086
562	1397	1084
563	1400	1082
564	1403	1080
565	1406	1078
566	1409	1076
567	1411	1073
568	1415	1072
569	1417	1069
570	1420	1067
571	1423	1064
572	1425	1062
573	1428	1060
574	1432	1058
575	1434	1055
576	1437	1053
577	1439	1051
578	1442	1048
579	1445	1047
580	1448	1044
581	1451	1042
582	1453	1039
583	1456	1037
584	1459	1035
585	1462	1033
586	1465	1030
587	1467	1028
588	1470	1025
589	1472	1023
590	1476	1021
591	1479	1019
592	1482	1017
593	1486	1016
594	1493	1016
595	1501	1017
596	1509	1019
597	1513	1017
598	1516	1015
599	1519	1012
600	1523	1011
601	1526	1008
602	1528	1006
603	1531	1004
604	1534	1002
605	1538	1000
606	1540	997
607	1543	994
608	1545	992
609	1548	989
610	1550	987
611	1554	985
612	1557	983
613	1560	980
614	1562	978
615	1565	975
616	1569	973
617	1571	971
618	1574	968
619	1576	966
620	1579	963
621	1581	961
622	1585	959
623	1588	957
624	1591	954
625	1593	952
626	1596	949
627	1599	947
628	1603	945
629	1605	943
630	1609	941
631	1612	938
632	1616	937
633	1618	934
634	1621	931
635	1623	929
636	1626	926
637	1630	924
638	1632	922
639	1635	919
640	1638	917
641	1640	914
642	1643	912
643	1646	910
644	1649	907
645	1652	905
646	1654	902
647	1657	900
648	1660	898
649	1663	895
650	1665	893
651	1669	890
652	1672	888
653	1677	887
654	1680	885
655	1683	882
656	1687	880
657	1693	880
658	1698	878
659	1702	876
660	1707	875
661	1710	873
662	1712	870
663	1715	868
664	1718	865
665	1724	864
666	1726	861
667	1729	859
668	1731	856
669	1734	854
670	1737	851
671	1740	849
672	1742	846
673	1745	844
674	1747	841
675	1750	838
676	1754	836
677	1756	834
678	1759	831
679	1761	829
680	1764	826
681	1767	824
682	1770	821
683	1772	818
684	1775	816
685	1778	813
686	1780	811
687	1783	808
688	1787	806
689	1789	804
690	1792	801
691	1795	799
692	1798	796
693	1801	794
694	1804	791
695	1806	789
696	1809	786
697	1811	783
698	1815	781
699	1818	779
700	1820	776
701	1823	773
702	1825	771
703	1828	768
704	1832	766
705	1834	764
706	1838	761
707	1842	759
708	1847	758
709	1851	756
710	1855	754
711	1862	753
712	1867	751
713	1873	750
714	1879	749
715	1882	746
716	1885	744
717	1888	741
718	1892	739
719	1895	737
720	1898	734
721	1901	732
722	1906	730
723	1909	728
724	1912	725
725	1915	722
726	1918	720
727	1923	718
728	1926	716
729	1929	713
730	1932	711
731	1936	708
732	1940	706
733	1943	704
734	1946	701
735	1950	699
736	1954	697
737	1957	694
738	1960	692
739	1963	689
740	1967	687
741	1971	685
742	1974	683
743	1978	680
744	1982	678
745	1986	676
746	1990	674
747	1993	671
748	1998	669
749	2002	667
750	2006	665
751	2009	662
752	2016	661
753	2020	659
754	2024	656
755	2030	655
756	2034	653
757	2039	651
758	2045	649
759	2049	647
760	2053	644
761	2057	642
762	2062	640
763	2065	638
764	2069	635
765	2072	633
766	2077	631
767	2081	628
768	2085	626
769	2089	624
770	2094	621
771	2097	619
772	2102	617
773	2107	615
774	2111	612
775	2114	610
776	2118	607
777	2123	605
778	2126	603
779	2130	600
780	2133	598
781	2138	596
782	2141	593
783	2144	590
784	2147	588
785	2151	585
786	2155	583
787	2158	580
788	2161	578
789	2164	575
790	2168	573
791	2171	570
792	2175	567
793	2178	565
794	2182	562
795	2185	560
796	2189	557
797	2192	555
798	2196	552
799	2200	550
800	2203	547
801	2206	544
802	2209	542
803	2213	539
804	2216	536
805	2219	534
806	2222	531
807	2225	528
808	2229	526
809	2232	523
810	2236	521
811	2239	518
812	2247	516
813	2251	514
814	2255	511
815	2260	509
816	2265	507
817	2269	504
818	2273	502
819	2279	500
820	2283	497
821	2286	495
822	2290	492
823	2294	490
824	2297	487
825	2301	484
826	2305	482
827	2309	479
828	2312	476
829	2315	474
830	2320	471
831	2323	469
832	2326	466
833	2331	463
834	2335	461
835	2339	458
836	2342	456
837	2345	453
838	2348	450
839	2352	448
840	2355	445
841	2358	442
842	2361	439
843	2364	437
844	2367	434
845	2370	431
846	2374	428
847	2376	426
848	2381	423
849	2385	420
850	2388	418
851	2391	415
852	2395	412
853	2399	410
854	2401	407
855	2404	404
856	2407	401
857	2410	398
858	2413	396
859	2416	393
860	2419	390
861	2422	387
862	2424	384
863	2428	382
864	2431	379
865	2433	376
866	2436	373
867	2439	370
868	2443	368
869	2446	365
870	2448	362
871	2451	359
872	2454	357
873	2457	354
874	2460	351
875	2463	348
876	2466	345
877	2471	343
878	2477	340
879	2481	338
880	2487	336
881	2493	333
882	2496	330
883	2500	328
884	2505	325
885	2508	322
886	2511	320
887	2514	317
888	2519	314
889	2521	311
890	2524	308
891	2527	305
892	2529	303
893	2534	300
894	2537	297
895	2539	294
896	2542	291
897	2544	289
898	2548	286
899	2551	283
900	2553	280
901	2556	277
902	2558	274
903	2561	272
904	2564	269
905	2567	266
906	2569	263
907	2572	260
908	2574	257
909	2578	255
910	2581	252
911	2583	249
912	2586	246
913	2589	243
914	2593	240
915	2596	238
916	2599	235
917	2601	232
918	2604	229
919	2607	226
920	2610	223
921	2613	221
922	2615	218
923	2618	215
924	2621	212
925	2624	209
926	2627	206
927	2630	204
928	2632	201
929	2634	198
930	2637	195
931	2640	192
932	2642	189
933	2646	187
934	2650	184
935	2654	181
936	2657	178
937	2660	175
938	2663	173
939	2667	170
940	2672	167
941	2675	164
942	2679	161
943	2682	159
944	2686	156
945	2688	153
946	2691	150
947	2693	147
948	2695	144
949	2699	142
950	2702	139
951	2705	136
952	2707	133
953	2710	130
954	2712	127
955	2716	125
956	2718	122
957	2721	119
958	2723	116
959	2726	113
960	2729	110
961	2732	107
962	2734	105
963	2737	102
964	2739	99
965	2742	96
966	2745	93
967	2749	90
968	2751	88
969	2753	85
970	2756	82
971	2758	79
972	2762	76
973	2764	73
974	2767	70
975	2770	68
976	2772	65
977	2774	62
978	2778	59
979	2780	56
980	2783	53
981	2785	51
982	2787	48
983	2790	45
984	2793	42
985	2795	39
986	2798	36
987	2802	34
988	2804	31
989	2808	28
990	2810	25
991	2813	22
992	2815	19
993	2818	17
994	2823	14
995	2826	11
996	2829	8
997	2833	5
998	2838	2
999	2844	0
