iter	Passed	Remaining
0	4	4792
1	12	6428
2	19	6599
3	26	6626
4	34	6773
5	41	6820
6	48	6927
7	56	7024
8	66	7284
9	74	7343
10	84	7629
11	93	7738
12	102	7790
13	109	7736
14	117	7688
15	124	7661
16	131	7597
17	139	7613
18	147	7598
19	154	7550
20	161	7515
21	169	7516
22	176	7500
23	183	7462
24	190	7417
25	196	7368
26	203	7329
27	209	7281
28	216	7236
29	223	7226
30	231	7243
31	241	7317
32	254	7462
33	261	7435
34	269	7419
35	276	7392
36	283	7383
37	290	7355
38	297	7340
39	305	7332
40	312	7305
41	320	7308
42	328	7310
43	336	7306
44	343	7297
45	351	7291
46	358	7259
47	366	7267
48	374	7268
49	383	7277
50	390	7266
51	400	7296
52	409	7319
53	421	7382
54	429	7375
55	437	7369
56	445	7370
57	453	7357
58	460	7347
59	467	7329
60	474	7306
61	482	7293
62	489	7279
63	497	7273
64	503	7246
65	510	7230
66	518	7215
67	525	7204
68	532	7185
69	539	7170
70	546	7154
71	553	7129
72	561	7129
73	570	7133
74	581	7167
75	589	7164
76	595	7141
77	602	7124
78	610	7118
79	617	7103
80	624	7089
81	631	7074
82	640	7080
83	647	7065
84	655	7054
85	661	7035
86	668	7018
87	675	6996
88	681	6978
89	689	6967
90	696	6954
91	704	6949
92	711	6934
93	718	6928
94	726	6916
95	733	6908
96	740	6894
97	747	6877
98	754	6869
99	761	6850
100	768	6837
101	776	6834
102	785	6838
103	792	6831
104	802	6842
105	809	6829
106	817	6820
107	823	6804
108	830	6791
109	838	6786
110	845	6771
111	853	6766
112	860	6755
113	867	6745
114	875	6738
115	883	6734
116	890	6717
117	898	6718
118	905	6705
119	913	6699
120	920	6687
121	927	6674
122	935	6667
123	943	6664
124	953	6672
125	964	6686
126	976	6709
127	983	6703
128	992	6698
129	999	6689
130	1008	6687
131	1015	6679
132	1024	6675
133	1031	6665
134	1040	6663
135	1048	6658
136	1057	6660
137	1064	6651
138	1073	6646
139	1080	6640
140	1088	6631
141	1095	6622
142	1103	6611
143	1111	6605
144	1125	6636
145	1144	6693
146	1152	6688
147	1161	6687
148	1171	6688
149	1181	6692
150	1236	6950
151	1258	7022
152	1293	7163
153	1312	7212
154	1345	7336
155	1380	7466
156	1394	7485
157	1406	7496
158	1415	7489
159	1425	7482
160	1438	7495
161	1469	7600
162	1491	7659
163	1503	7666
164	1516	7673
165	1525	7663
166	1538	7674
167	1549	7673
168	1558	7661
169	1571	7672
170	1582	7670
