iter	Logloss
0	0.6312340078
1	0.5832206212
2	0.5473436264
3	0.5079068222
4	0.4760231015
5	0.4485388703
6	0.4231641916
7	0.4009781387
8	0.3818732079
9	0.3645509353
10	0.3505912333
11	0.3370841572
12	0.3276309463
13	0.319344926
14	0.3112613406
15	0.302470303
16	0.2947936541
17	0.2886975546
18	0.2838025247
19	0.278581066
20	0.2735877113
21	0.2692658732
22	0.2652300068
23	0.2622480052
24	0.2592388711
25	0.2548546143
26	0.2510012397
27	0.2484917862
28	0.24596497
29	0.2431247802
30	0.2409881975
31	0.2391195617
32	0.2369999419
33	0.2351499234
34	0.2336685918
35	0.2309822405
36	0.2289804536
37	0.2280655217
38	0.2270038674
39	0.2262972984
40	0.2256351211
41	0.2250848017
42	0.2234480037
43	0.2220217556
44	0.2211247749
45	0.2202751916
46	0.2189644572
47	0.2185365986
48	0.2178461833
49	0.2165483668
50	0.2162076365
51	0.2152076889
52	0.2146930478
53	0.2142868395
54	0.2135007845
55	0.2130945881
56	0.2127564721
57	0.2122102991
58	0.2117558928
59	0.2109258511
60	0.210342596
61	0.209898832
62	0.2092174981
63	0.2082190164
64	0.2074781505
65	0.2069347067
66	0.206489791
67	0.2060934274
68	0.2056448407
69	0.2051495449
70	0.20467708
71	0.2040230961
72	0.2034356642
73	0.2029546381
74	0.2026861194
75	0.2022666749
76	0.2020888445
77	0.2017933273
78	0.2014751999
79	0.2011598562
80	0.2008538932
81	0.2003498343
82	0.1996961368
83	0.1992283713
84	0.1986793747
85	0.1981666226
86	0.1977518147
87	0.1975222777
88	0.1972409182
89	0.1969056787
90	0.1966994101
91	0.1964425058
92	0.1961674793
93	0.1958814358
94	0.1956604901
95	0.1953442093
96	0.1950172685
97	0.1948710988
98	0.1947383809
99	0.1943340347
100	0.1940111183
101	0.1935111
102	0.1933863389
103	0.1930823093
104	0.1927223923
105	0.192610945
106	0.192319409
107	0.1922155527
108	0.1918967531
109	0.1916918741
110	0.1912938197
111	0.1910662513
112	0.1909438384
113	0.190842693
114	0.1905592049
115	0.1903860813
116	0.1902992935
117	0.1902102993
118	0.1901151101
119	0.1898923579
120	0.18958185
121	0.1893525812
122	0.1890503791
123	0.1888533365
124	0.1884018991
