iter	Passed	Remaining
0	21	2715
1	40	2509
2	52	2151
3	58	1761
4	61	1486
5	65	1295
6	68	1155
7	71	1052
8	74	964
9	77	889
10	79	826
11	94	887
12	97	836
13	100	795
14	103	759
15	107	732
16	125	797
17	130	773
18	137	767
19	144	756
20	152	756
21	159	744
22	163	725
23	170	719
24	174	697
25	177	676
26	181	657
27	184	639
28	187	619
29	190	601
30	193	585
31	195	568
32	199	555
33	201	540
34	204	526
35	207	512
36	209	499
37	212	487
38	216	477
39	218	464
40	220	450
41	222	439
42	224	428
43	227	418
44	230	409
45	234	402
46	236	393
47	239	383
48	241	374
49	244	366
50	246	357
51	249	349
52	251	341
53	253	333
54	255	325
55	257	317
56	260	311
57	263	304
58	265	297
59	267	289
60	269	282
61	272	276
62	275	271
63	279	266
64	281	260
65	286	255
66	289	250
67	294	246
68	297	241
69	301	237
70	306	233
71	312	229
72	315	224
73	317	219
74	323	215
75	327	210
76	329	205
77	331	199
78	333	194
79	335	188
80	338	183
81	341	179
82	344	174
83	347	169
84	350	164
85	355	160
86	357	156
87	360	151
88	364	147
89	366	142
90	368	137
91	372	133
92	374	128
93	376	124
94	378	119
95	380	114
96	383	110
97	386	106
98	389	102
99	391	97
100	393	93
101	395	89
102	397	84
103	400	80
104	404	76
105	406	72
106	410	68
107	413	65
108	416	61
109	421	57
110	423	53
111	426	49
112	430	45
113	434	41
114	437	38
115	440	34
116	442	30
117	444	26
118	447	22
119	450	18
120	452	14
121	454	11
122	456	7
123	458	3
124	461	0
